Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-12-24,Amanda Knox,2016,https://boxd.it/2o3x7R,3.5,,"How was the conclusive motive for Amanda Knox brutally murdering Meredith Kercher 'a slut shaming comment that went too far'.. how disconnected do you have to be from a woman to think that this how how they behave?

""Amanda Knox was a girl that was seen kissing her boyfriend near the crime scene and then got instantly pinned as the psychopathic mastermind behind Kercher's murder."" 
- This is definitely a conclusion that a sexist journalist would make before scoffing at the fact a young girl could have casual love affairs ",,2021-12-23
2021-12-31,Licorice Pizza,2021,https://boxd.it/2pLREX,3.5,,"While this is a grooming story, I don’t think you have to hate it for that reason because movies are not meant to b moral compasses anyway and the only goal, I’d say, for a movie is, “was it entertaining?” I also think it was smart to place the movie in the 70s since we have to play into how illegal relationships like these were kinda normal in day-to-day life. If this was set in today’s then we’d b allowed to b like “this is not realistic at all! No one would have let this happen!”

Just based on their looks it was a really good cast selection, I like how PTA didn’t find stunning people that would distract the audience from how messed up these characters really are. 

The girl is hopeless and trying to chase back her youth because she’s sad about how much of a loser she has become while the kid has everything going for him and his only real setback is that he is only 15. The power imbalance at face value is the woman being 25 and the boy being 15. As you keep watching, you start to realize this isn’t your typical 15 year old and not a fully grown 25 year old. You see how the woman is lost in who she is and that she actually <i>relies</i> on the kid which is pretty sad and once he starts realizing that too, the roles start to shift (or were they ever shifted in the first place?)","pta, alana haim, cooper hoffman, theatre, hotdog3",2021-12-30
2021-12-31,Mommy,2014,https://boxd.it/2pWgDv,4,,"How can in a second, Steve can make me go, 'what a little shite >;0' to 'poor baby is misunderstood ;(' ??? The acting in this is CRAZY good coming from D.I.E and Kyla too. The fight scene between Steve and Kyla made Marriage story's fight scene look like a middle school theatre improv routine

The movie is tragic then beautiful then hopeless then hopeful. I LOVE THE SQUARE RATIO ASPECT. Every time it went to normal rectangle size, I realize how much empty space other movies have when it is in that ratio. Bring back the square movies, I don't need the white noise in the background.

The only part that I wish had more to it was the ending or maybe I just never wanted the movie to end. The scene between Kyla and D.I.E at the end was a little too long for me and thought it was too predictable that Steve escaped (why would you EVER take that kid off his straitjacket??). The movie sort of came from too high of a high that it was destined to fall.",xavier dolan,2021-12-30
2022-01-05,The Lighthouse,2019,https://boxd.it/2rh2Mp,2.5,,EXTREMELY MID,"robert eggers, robert pattinson, willem dafoe",2022-01-04
2022-01-05,BlacKkKlansman,2018,https://boxd.it/2rhK05,5,,"The ending gave me the same punch to the gut as <i>Dear White People </i>did<i>. </i>I would be embarrassed as hell to live in Charlottesville after seeing this.

I almost like how anti climatic and unsatisfying the resolution was. The bad guys get blown up and.. that’s it. The city is no different, they don’t even get to <i>know</i> that something this evil was lurking in their neighborhood. Because the racism is not over, and movie Ron Stallworth still has a lot to do before he can have his heroic sayonara.","spike lee, adam driver, john david washington",2022-01-04
2022-01-06,Girl 6,1996,https://boxd.it/2ruLLd,4,,Sure.. was it a lazy ending? Were there boring side plots throughout 1/4 of the movie? Did the dramatic shift take too long? Maybe. But did Girl6 make the life of dropping everything to work their way up to the top of the 'call girl' hierarchy look glamorously depressing? ABSOLUTELY.,spike lee,2022-01-05
2022-01-08,Red Rocket,2021,https://boxd.it/2rXKUr,5,,"Mikey Saber was more chased out of Texas rather than running away from it, no matter how hard he tried to make the point clear that he was <b>definitely</b> <b>leaving at 10am the next morning.</b>

Even though I knew how scummy Mikey was to literally everyone, the most hopeless feeling rained over me when he told Lexi he was going back to California. It was an <i>I hate you but now I’m just disappointed in how little you’ve learned from our time together</i> moment.

The director of <i>Tangerine</i>, how could he disappoint?",sean baker,2022-01-07
2022-01-12,"tick, tick...BOOM!",2021,https://boxd.it/2t3RfL,4,,"This movie was a little unnecessary but it still gets a nice rating because Andrew Garfield flawlessly went from “lawyer up, asshole” to “this is the life bo-bo,bo-bo-bo”","andrew garfield, lin-manuel miranda",2022-01-11
2022-01-14,X,2022,https://boxd.it/2tDuHz,,,Kid cudi???? Jacob Sartorious’ ex???,,2022-01-13
2022-01-24,Frozen,2010,https://boxd.it/2vQzLb,1,,"Context: watched this at 2am on the last day of my ski trip

In a survivalist horror movie, I care way less about having developed characters and more about what their out-of-the-box solutions are for a bizarre situation. So, why did I watch 1 hour of listening to these obnoxious idiots' sob stories and 30 minutes of them jumping off the ski lift thinking this was their best solution??? If I was stuck up there with them, I would

1. Use my skis/snowboard to zipline down to chair to chair
2. CALL SOMEONE?? I use my phone all the time when I'm on these ski lifts, did they think when the lights were off the cell phone towers were too? What was that running joke of Lynch remembering that phone number for, was it a tease at a possible solution they just forgot to write in the script?
3. WHY WAS THE GIRLFRIEND EVEN GOING UP THE MOUNTAIN WITH THEM? WASN'T SHE ALREADY ASS AT THE BUNNY HILL?? If she had just stayed down at the lodge, she would have noticed them taking forever and would have eventually figured out they were in trouble",,2022-01-23
2022-02-05,The Fallout,2021,https://boxd.it/2yfpx7,3,,Feeling unfulfilled by the loose definition of the relationship between ortega girl and dance mom pyramid climber.. did they just regress to being JUST BEST FRIENDS AGAIN???,"jenna ortega, maddie ziegler",2022-02-04
2022-02-15,Tall Girl 2,2022,https://boxd.it/2A9cZj,0.5,,"Dunkleman: Jodi's pet
Stig: Dunkleman's pet",miramark,2022-02-15
2022-02-20,The Royal Treatment,2022,https://boxd.it/2B2myd,1,,"Never has a movie emitted such 'written by a man' energy only to ACTUALLY b written by a woman and having three of the producers being the entire laura marano family

This gets .5 more than tall girl 2",laura marano,
2022-02-22,"Awake, a Dream from Standing Rock",2017,https://boxd.it/2BqRuf,1,,"The longest 1hr 29min of my life, how am I supposed to write three paragraphs about this for my arts and protest class when I had to pause three separate times to not fall asleep",,2022-02-21
2022-02-26,King Richard,2021,https://boxd.it/2C5RTB,5,,"I don't think I had a favorite biopic until now. 

There were moments I understood King Richard completely even when all was against him and then moments where I contemplated on whether his stubbornness (and maybe even envy) guided his choices before anything else. But that goes to show why this movie is named after King Richard (Not Venus or Serena or even the Williams family) and why he is one of the greatest protagonists I think I've seen this year. 

The gangster subplot -yes, I think should have been there- After the first encounter with them, I felt uneasy every time the family went to the tennis courts after and that must have been their reality as well (the real Williams family). And the mixed emotions that ran over me when the drive-by shooting scene happened. Because you realized then that everyone is running away from someone and that those guys had bullies of their own they had to deal with.",will smith,2022-02-25
